record_id,source_type,source_name,pmid,pmcid,title,hospital,city,state,icd10,meso_type,case_count,year_start,year_end,latitude,longitude,catchment_km,journal,affiliation,screen_score,screen_reasons,screen_status,provenance_url,notes
LIT-PMID-39872277,NCBI Literature,PubMed/PMC,39872277,PMC7895854,NELL-1 as a Target Antigen in Asbestosis Associated Membranous Nephropathy - A Case Report.,"General Medicine, Pondicherry Institute",,,Asbestos,All,1,2025,2025,,,90,Indian journal of nephrology,"Department of General Medicine, Pondicherry Institute of Medical Sciences, Kalapet, Pondicherry, India",10,"mesothelioma-term,primary-study-cue,hospital-detected,cohort-count",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC7895854/,doi:10.1016/j.kint.2020.07.039
LIT-PMID-39867168,NCBI Literature,PubMed/PMC,39867168,PMC5497111,Understanding exposure risk using soil testing and GIS around an abandoned asbestos mine.,Tata Institute,,Jharkhand,Asbestos,All,0,2025,2025,,,90,Annals of global health,"Tata Institute of Social Sciences, Mumbai, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5497111/,doi:10.1016/j.healthpol.2019.02.001
LIT-PMID-39312698,NCBI Literature,PubMed/PMC,39312698,PMC7606734,Malignant pleural mesothelioma: The disdained member of thoracic oncology!,"Oncology, Postgraduate Institute",,,Asbestos,All,0,2024,2024,,,90,World journal of experimental medicine,"Department of Radiotherapy and Oncology, Postgraduate Institute of Medical Education and Research, Chandigarh 160012, India",4,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC7606734/,doi:10.5493/wjem.v14.i3.91739
LIT-PMID-38798778,NCBI Literature,PubMed/PMC,38798778,PMC2706793,Analysis of mesothelioma cases and National Cancer Registry data to assess asbestos exposure in India.,,,,Asbestos,All,0,2024,2024,,,90,Public health action,"Department of Environmental and Occupational Health, Dornsife School of Public Health, Drexel University, Philadelphia, PA, USA",-1,"mesothelioma-term,india-signal,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC2706793/,doi:10.5588/pha.24.0003
LIT-PMID-38511037,NCBI Literature,PubMed/PMC,38511037,PMC5878657,Peritoneal Malignant Mesothelioma Metastasizing to Lymph Node in Young Male-a Case Report.,"Pathology, Sri Guru Ram Das Institute",,Punjab,Asbestos,All,1,2024,2024,,,90,Indian journal of surgical oncology,"Department of Pathology, Sri Guru Ram Das Institute of Medical Sciences and Research, Amritsar, Punjab India",11,"mesothelioma-term,primary-study-cue,hospital-detected,india-location,cohort-count",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5878657/,doi:10.1093/annonc/mdp307
LIT-PMID-38491547,NCBI Literature,PubMed/PMC,38491547,PMC7909686,"Impact of climate change on temperature variations and extrinsic incubation period of malaria parasites in Chennai, India: implications for its disease transmission potential.","Field Unit, ICMR-National Institute",Chennai,Tamil Nadu,Asbestos,All,0,2024,2024,,,90,Parasites & vectors,"Field Unit, ICMR-National Institute of Malaria Research, Chennai, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC7909686/,doi:10.1017/S0031182000077003
LIT-PMID-38409016,NCBI Literature,PubMed/PMC,38409016,PMC5740834,Testicular mesothelioma disguised as hydrocele: a case report.,VPS Lakeshore Hospital,,Kerala,Asbestos,All,1,2024,2024,,,90,Journal of medical case reports,"VPS Lakeshore Hospital & Research Centre, Kochi, Kerala, India",13,"mesothelioma-term,india-signal,primary-study-cue,hospital-detected,india-location,cohort-count",promote,https://pmc.ncbi.nlm.nih.gov/articles/PMC5740834/,doi:10.3390/uro2040031
LIT-PMID-38515807,NCBI Literature,PubMed/PMC,38515807,PMC4112850,Banning asbestos in talcum powder: Time for action in India.,ICMR- National Institute,,Uttar Pradesh,Asbestos,All,0,2023,2023,,,90,Dialogues in health,"ICMR- National Institute of Cancer Prevention and Research (NICPR), Ministry of Health and Family Welfare, Government of India. I - 7, Sector - 39, NOIDA, Gautam Buddha Nagar, Uttar Pradesh 201301, India",-2,"mesothelioma-term,india-signal,hospital-detected,india-location,non-primary-cue,non-meso-cohort-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC4112850/,doi:10.20529/IJME.2019.026
LIT-PMID-37811036,NCBI Literature,PubMed/PMC,37811036,PMC9675762,Challenging diagnosis of sarcomatoid hepatic mesothelioma: a case report with review of literature.,,,,Asbestos,All,1,2023,2023,,,90,Annals of medicine and surgery (2012),"Department of Internal Medicine, GMERS Medical College and Hospital, Vadodara",2,"mesothelioma-term,primary-study-cue,cohort-count,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9675762/,doi:10.1097/MS9.0000000000001148
LIT-PMID-37591378,NCBI Literature,PubMed/PMC,37591378,,"Global, regional, and national burden of asbestosis from 1990 to 2019 and the implications for prevention and control.",,,,Asbestos,All,0,2023,2023,,,90,The Science of the total environment,"Key Laboratory of Occupational Environment and Health, Guangzhou Twelfth People's Hospital, Guangzhou, China",-1,"mesothelioma-term,india-signal,non-primary-cue",review,https://pubmed.ncbi.nlm.nih.gov/37591378/,doi:10.1016/j.scitotenv.2023.166346
LIT-PMID-37359063,NCBI Literature,PubMed/PMC,37359063,PMC10166626,Analysis of the Indian Government's position on the use of asbestos and its health effects.,,New Delhi,Delhi,Asbestos,All,0,2023,2023,,,90,Public health action,"Department of Architecture, School of Planning and Architecture, New Delhi",0,"mesothelioma-term,india-signal,india-location,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10166626/,doi:10.5588/pha.23.0013
LIT-PMID-37019224,NCBI Literature,PubMed/PMC,37019224,,Assessing pollution and health risks from chromite mine tailings contaminated soils in India by employing synergistic statistical approaches.,"Ecological Research Unit, Indian Statistical Institute",,Jharkhand,Asbestos,All,0,2023,2023,,,90,The Science of the total environment,"Agricultural and Ecological Research Unit, Indian Statistical Institute, Giridih, Jharkhand 815301, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pubmed.ncbi.nlm.nih.gov/37019224/,doi:10.1016/j.scitotenv.2023.163228
LIT-PMID-36993005,NCBI Literature,PubMed/PMC,36993005,PMC1008445,Assessment of pulmonary function test in brick factory workers.,"Medical Intern, Jawaharlal Nehru Medical College",,Maharashtra,Asbestos,All,0,2022,2022,,,90,Journal of family medicine and primary care,"Medical Intern, Jawaharlal Nehru Medical College, Dmimsu, Sawangi (meghe), Wardha, Maharashtra, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC1008445/,doi:10.4103/jfmpc.jfmpc_504_22
LIT-PMID-34773504,NCBI Literature,PubMed/PMC,34773504,PMC4574269,"Does the roof type of a house influence the presence of adult Anopheles stephensi, urban malaria vector? - evidence from a few slum settings in Chennai, India.",ICMR-National Institute,Chennai,Tamil Nadu,Asbestos,All,0,2022,2022,,,90,Parasitology research,"ICMR-National Institute of Malaria Research, Field Unit, NIE Campus, 2nd Main Road, TNHB, Ayapakkam, Chennai, Tamil Nadu, 600 077, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC4574269/,doi:10.4269/ajtmh.14-0834
LIT-PMID-34602383,NCBI Literature,PubMed/PMC,34602383,,Peritoneal malignant mesothelioma: Slippery like an eel to diagnose on cytology-case series of 3 cases.,"Pathology, Dayanand Medical College",,,Asbestos,All,0,2022,2022,,,90,Journal of the American Society of Cytopathology,"Department of Pathology, Dayanand Medical College and Hospital, Ludhiana, India",8,"mesothelioma-term,primary-study-cue,hospital-detected",review,https://pubmed.ncbi.nlm.nih.gov/34602383/,doi:10.1016/j.jasc.2021.08.007
LIT-PMID-34088116,NCBI Literature,PubMed/PMC,34088116,,ATR-FTIR and LC-Q-ToF-MS analysis of indoor dust from different micro-environments located in a tropical metropolitan area.,"Environmental Sciences, Mahatma Gandhi University",,Kerala,Asbestos,All,0,2021,2021,,,90,The Science of the total environment,"Schoool of Environmental Sciences, Mahatma Gandhi University (MGU), Kottayam 686560, Kerala, India",2,"mesothelioma-term,india-signal,hospital-detected,india-location,non-primary-cue",review,https://pubmed.ncbi.nlm.nih.gov/34088116/,doi:10.1016/j.scitotenv.2021.147066
LIT-PMID-33927865,NCBI Literature,PubMed/PMC,33927865,PMC6453355,An unusual presentation of acute abdomen: infarcted peritoneal cyst-a probable asbestos-related benign cystic mesothelioma.,"General Surgery, Chettinad Medical College",Chennai,Tamil Nadu,Asbestos,All,1,2021,2021,,,90,Journal of surgical case reports,"Department of General Surgery, Chettinad Medical College, Kelambakkam, Chennai, Tamil Nadu, India",11,"mesothelioma-term,primary-study-cue,hospital-detected,india-location,cohort-count",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC6453355/,doi:10.1093/jscr/rjab129
LIT-PMID-33911981,NCBI Literature,PubMed/PMC,33911981,PMC2352103,Epidemiology of lung cancer.,,,,Asbestos,All,0,2021,2021,,,90,"Contemporary oncology (Poznan, Poland)","Department of Pulmonary and Critical Care Medicine, Sentara Virginia Beach General Hospital, Virginia Beach, VA, USA",4,"mesothelioma-term,india-signal,primary-study-cue,non-meso-cohort-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC2352103/,doi:10.1093/acprof:oso/9780199566655.003.0001
LIT-PMID-33622366,NCBI Literature,PubMed/PMC,33622366,PMC6280925,Ongoing downplaying of the carcinogenicity of chrysotile asbestos by vested interests.,,,,Asbestos,All,0,2021,2021,,,90,"Journal of occupational medicine and toxicology (London, England)","Chair Em. of Occupational Medicine, University of Hamburg, Hamburg, Germany",-1,"mesothelioma-term,india-signal,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC6280925/,doi:10.5271/sjweh.3471
